Flags: X - DISABLED, I - INVALID, D - DYNAMIC, P - PUBLISHED; C - COMPLETE
Columns: ADDRESS, MAC-ADDRESS, INTERFACE, STATUS
 #    ADDRESS          MAC-ADDRESS        INTERFACE     STATUS
;;; STATIC FOR MAP
 0 X  192.168.239.2    08:55:31:B9:F2:95  ether5
 1 D  10.136.200.23                       MGMT          incomplete
 2 DC 10.136.200.9     48:8F:5A:2C:F9:09  MGMT          reachable
 3 DC 10.136.200.222   66:E4:F7:BD:4B:B7  DMZ           reachable
 4 DC 10.136.201.26    BC:24:11:A0:E7:78  Servers       reachable
 5 DC 10.136.201.15    BC:24:11:D7:86:8C  Servers       reachable
 6 DC 10.136.200.2     48:A9:8A:67:8C:72  MGMT          reachable
 7 DC 10.136.201.8     D2:4F:A1:4B:65:2E  Servers       reachable
 8 D  10.136.200.73    B8:85:84:B8:3E:C9  WLAN          failed
 9 DC 10.136.201.6     BC:24:11:89:2B:90  Servers       reachable
10 DC 10.136.201.68    16:D7:F7:FE:74:55  Containers    reachable
11 DC 10.136.201.11    BC:24:11:1C:98:82  Servers       reachable
12 DC 10.136.200.221   12:7F:B6:6C:43:BE  DMZ           reachable
13 DC 10.136.201.25    B8:27:EB:EE:7B:F7  Servers       reachable
14 DC 10.136.201.3     BC:24:11:F1:50:4A  Servers       reachable
15 DC 10.136.200.51    D8:BB:C1:7F:D5:A9  MGMT          reachable
16 DC 10.136.201.163   BC:24:11:46:50:10  Data          reachable
17 DC 10.136.200.10    90:B1:1C:A0:C8:51  MGMT          reachable
18 DC 209.195.10.124   00:00:5E:00:01:0E  Astound       reachable
19 DC 104.202.204.1    00:00:5E:00:01:0E  Astound       reachable
20 DC 10.136.201.155   BC:24:11:2F:7E:CB  Web           reachable
21 DC 10.136.201.2     48:A9:8A:67:8C:72  Servers       delay
22 D  10.136.200.79    24:95:2F:DD:A4:AF  WLAN          failed
23 DC 192.168.94.245   96:67:E9:F7:EF:89  Koda          stale
24 D  10.136.200.13    90:09:D0:3E:55:AE  MGMT          failed
25 DC 10.136.201.10    BC:24:11:EE:3D:7D  Servers       stale
26 DC 192.168.94.253   0C:43:F9:3C:CA:9C  Koda          reachable
27 D  10.136.200.220                      DMZ           failed
28 D  10.136.200.71    E0:0A:F6:3A:FE:7F  WLAN          failed
29 DC 10.136.201.7     BC:24:11:80:89:FD  Servers       stale
30 D  192.168.94.249   80:47:86:A6:9F:36  Koda          failed
31 DC 192.168.94.244   B8:31:B5:CE:65:33  Koda          reachable
32 DC 10.136.201.9     BC:24:11:E2:93:99  Servers       stale
33 D  192.168.94.246   3A:F7:CE:DB:13:B9  Koda          failed
34 DC 10.136.200.219   BC:24:11:7F:AC:89  DMZ           stale
35 DC 10.136.200.190   90:09:D0:39:A9:3F  SAN           stale
36 DC 1.0.0.1          00:00:5E:00:01:0E  Astound       stale
37 DC 1.1.1.1          00:00:5E:00:01:0E  Astound       stale
38 D  10.136.201.200                      IoT           failed
39 D  10.136.201.201   BC:24:11:B9:8B:8D  IoT           failed
40 DC 10.136.201.202   BC:24:11:F3:F2:A8  IoT           stale
41 DC 104.202.205.103  00:00:5E:00:01:0E  Astound       stale
42 DC 10.136.200.229   B8:85:84:B8:3E:C9  Workstations  reachable
43 DC 10.136.200.228   10:FF:E0:6D:B6:39  Workstations  stale
44 D  10.136.200.231   84:A9:38:6A:8B:C9  Workstations  failed
45 DC 10.136.200.72    D6:73:0F:83:2D:EE  WLAN          stale
46 D  10.136.200.75    42:0C:07:92:A6:23  WLAN          failed
47 D  10.136.200.76    7A:96:47:57:F6:2F  WLAN          failed
48 D  10.136.200.77    46:E2:AD:C3:F6:FC  WLAN          failed
49 D  10.136.200.78    7E:07:C2:43:95:81  WLAN          failed
50 D  10.136.200.80    C2:1B:C3:6C:41:81  WLAN          failed
51 DC 10.136.200.81    62:68:9A:49:DD:60  WLAN          stale
52 D  10.136.200.82    D2:7F:10:5F:A1:5E  WLAN          failed
53 DC 10.136.201.12    BC:24:11:4D:0F:94  Servers       reachable
54 DC 10.136.201.13    BC:24:11:3D:D5:6C  Servers       reachable
55 D  10.136.201.190   90:09:D0:3E:55:AE  Data          failed
56 DC 10.136.200.83    A2:EE:51:5E:8E:08  WLAN          stale
57 DC 10.136.200.84    6A:6D:9C:9F:EA:E4  WLAN          stale
58 DC 10.136.201.50    90:09:D0:3E:55:AE  Servers       reachable
59 D  10.136.200.85    3E:DD:95:41:08:EF  WLAN          failed
60 DC 10.136.200.86    7A:9D:89:0A:B1:C2  WLAN          stale
61 DC 10.136.200.87    1A:4B:44:B2:AE:39  WLAN          stale
62 D  10.136.200.88    86:1D:C9:36:BE:7D  WLAN          failed
63 D  10.136.200.89    BE:E3:0C:37:78:1D  WLAN          failed
64 DC 104.202.207.193  00:00:5E:00:01:0E  Astound       stale
65 D  10.136.200.90    CA:A6:39:D2:12:B4  WLAN          failed
66 DC 10.136.200.91    FE:06:87:62:90:09  WLAN          stale
67 DC 10.136.200.92    B6:FB:85:8B:2A:70  WLAN          stale
68 DC 10.136.200.93    C6:06:EE:7D:8E:62  WLAN          stale
69 DC 10.136.200.94    BE:2F:CA:02:7D:1E  WLAN          stale
